typeID,groupID,typeName,marketGroupID,metaGroupID,metaLevel
164,23,Clone Grade Alpha,NULL,NULL,NULL
165,23,Clone Grade Beta,NULL,NULL,NULL
166,23,Clone Grade Gamma,NULL,NULL,NULL
178,83,Carbonized Lead S,113,NULL,NULL
179,83,Nuclear S,113,NULL,NULL
180,83,Proton S,113,NULL,NULL
181,83,Depleted Uranium S,113,NULL,NULL
182,83,Titanium Sabot S,113,NULL,NULL
183,83,Fusion S,113,NULL,NULL
184,83,Phased Plasma S,113,NULL,NULL
185,83,EMP S,113,NULL,NULL
186,83,Carbonized Lead M,112,NULL,NULL
187,83,Nuclear M,112,NULL,NULL
188,83,Proton M,112,NULL,NULL
189,83,Depleted Uranium M,112,NULL,NULL
190,83,Titanium Sabot M,112,NULL,NULL
191,83,Fusion M,112,NULL,NULL
192,83,Phased Plasma M,112,NULL,NULL
193,83,EMP M,112,NULL,NULL
194,83,Carbonized Lead L,109,NULL,NULL
195,83,Nuclear L,109,NULL,NULL
196,83,Proton L,109,NULL,NULL
197,83,Depleted Uranium L,109,NULL,NULL
198,83,Titanium Sabot L,109,NULL,NULL
199,83,Fusion L,109,NULL,NULL
200,83,Phased Plasma L,109,NULL,NULL
201,83,EMP L,109,NULL,NULL
202,386,Mjolnir Cruise Missile,921,NULL,0
203,386,Scourge Cruise Missile,921,NULL,0
204,386,Inferno Cruise Missile,921,NULL,0
205,386,Nova Cruise Missile,921,NULL,0
206,385,Nova Heavy Missile,924,NULL,0
207,385,Mjolnir Heavy Missile,924,NULL,0
208,385,Inferno Heavy Missile,924,NULL,0
209,385,Scourge Heavy Missile,924,NULL,0
210,384,Scourge Light Missile,920,NULL,0
211,384,Inferno Light Missile,920,NULL,0
212,384,Mjolnir Light Missile,920,NULL,0
213,384,Nova Light Missile,920,NULL,0
215,85,Iron Charge S,107,NULL,NULL
216,85,Tungsten Charge S,107,NULL,NULL
217,85,Iridium Charge S,107,NULL,NULL
218,85,Lead Charge S,107,NULL,NULL
219,85,Thorium Charge S,107,NULL,NULL
220,85,Uranium Charge S,107,NULL,NULL
221,85,Plutonium Charge S,107,NULL,NULL
222,85,Antimatter Charge S,107,NULL,NULL
223,85,Iron Charge M,108,NULL,NULL
224,85,Tungsten Charge M,108,NULL,NULL
225,85,Iridium Charge M,108,NULL,NULL
226,85,Lead Charge M,108,NULL,NULL
227,85,Thorium Charge M,108,NULL,NULL
228,85,Uranium Charge M,108,NULL,NULL
229,85,Plutonium Charge M,108,NULL,NULL
230,85,Antimatter Charge M,108,NULL,NULL
231,85,Iron Charge L,106,NULL,NULL
232,85,Tungsten Charge L,106,NULL,NULL
233,85,Iridium Charge L,106,NULL,NULL
234,85,Lead Charge L,106,NULL,NULL
235,85,Thorium Charge L,106,NULL,NULL
236,85,Uranium Charge L,106,NULL,NULL
237,85,Plutonium Charge L,106,NULL,NULL
238,85,Antimatter Charge L,106,NULL,NULL
239,86,Radio S,102,NULL,NULL
240,86,Microwave S,102,NULL,NULL
241,86,Infrared S,102,NULL,NULL
242,86,Standard S,102,NULL,NULL
243,86,Ultraviolet S,102,NULL,NULL
244,86,Xray S,102,NULL,NULL
245,86,Gamma S,102,NULL,NULL
246,86,Multifrequency S,102,NULL,NULL
247,86,Radio M,103,NULL,NULL
248,86,Microwave M,103,NULL,NULL
249,86,Infrared M,103,NULL,NULL
250,86,Standard M,103,NULL,NULL
251,86,Ultraviolet M,103,NULL,NULL
252,86,Xray M,103,NULL,NULL
253,86,Gamma M,103,NULL,NULL
254,86,Multifrequency M,103,NULL,NULL
255,86,Radio L,105,NULL,NULL
256,86,Microwave L,105,NULL,NULL
257,86,Infrared L,105,NULL,NULL
258,86,Standard L,105,NULL,NULL
259,86,Ultraviolet L,105,NULL,NULL
260,86,Xray L,105,NULL,NULL
261,86,Gamma L,105,NULL,NULL
262,86,Multifrequency L,105,NULL,NULL
263,87,Cap Booster 25,139,NULL,NULL
264,87,Cap Booster 50,139,NULL,NULL
265,1158,Heavy Defender Missile I,116,NULL,NULL
266,387,Scourge Rocket,922,NULL,0
267,89,Scourge Torpedo,923,NULL,0
269,394,Mjolnir Auto-Targeting Light Missile I,914,NULL,NULL
270,92,Python Mine,NULL,NULL,NULL
377,38,Small Shield Extender I,605,NULL,0
380,38,Small Shield Extender II,605,2,5
393,39,Shield Recharger I,126,NULL,0
394,39,Shield Recharger II,126,2,5
399,40,Small Shield Booster I,609,NULL,0
400,40,Small Shield Booster II,609,2,5
405,41,Micro Remote Shield Booster I,604,NULL,0
406,41,Micro Remote Shield Booster II,604,2,5
421,43,'Basic' Capacitor Recharger,665,3,0
434,46,1MN Microwarpdrive I,131,NULL,NULL
438,46,1MN Afterburner II,542,2,NULL
439,46,1MN Afterburner I,542,NULL,NULL
440,46,1MN Microwarpdrive II,131,2,NULL
442,47,Cargo Scanner I,711,NULL,0
443,48,Ship Scanner I,713,NULL,0
444,49,Survey Scanner I,714,NULL,0
447,52,Warp Scrambler I,1936,NULL,NULL
448,52,Warp Scrambler II,1936,2,NULL
450,53,Gatling Pulse Laser I,570,NULL,0
451,53,Dual Light Pulse Laser I,570,NULL,0
452,53,Dual Light Beam Laser I,567,NULL,0
453,53,Small Focused Pulse Laser I,570,NULL,0
454,53,Small Focused Beam Laser I,567,NULL,0
455,53,Quad Light Beam Laser I,568,NULL,0
456,53,Focused Medium Pulse Laser I,572,NULL,0
457,53,Focused Medium Beam Laser I,568,NULL,0
458,53,Heavy Pulse Laser I,572,NULL,0
459,53,Heavy Beam Laser I,568,NULL,0
460,53,Dual Heavy Pulse Laser I,573,NULL,0
461,53,Dual Heavy Beam Laser I,569,NULL,0
462,53,Mega Pulse Laser I,573,NULL,0
463,53,Mega Beam Laser I,569,NULL,0
464,53,Tachyon Beam Laser I,569,NULL,0
482,54,Miner II,1039,2,5
483,54,Miner I,1039,NULL,0
484,55,125mm Gatling AutoCannon I,574,NULL,NULL
485,55,150mm Light AutoCannon I,574,NULL,NULL
486,55,200mm AutoCannon I,574,NULL,NULL
487,55,250mm Light Artillery Cannon I,577,NULL,NULL
488,55,280mm Howitzer Artillery I,577,NULL,NULL
489,55,Dual 180mm AutoCannon I,575,NULL,NULL
490,55,220mm Vulcan AutoCannon I,575,NULL,NULL
491,55,425mm AutoCannon I,575,NULL,NULL
492,55,650mm Artillery Cannon I,578,NULL,NULL
493,55,720mm Howitzer Artillery I,578,NULL,NULL
494,55,Dual 425mm AutoCannon I,576,NULL,NULL
495,55,Dual 650mm Repeating Cannon I,576,NULL,NULL
496,55,800mm Repeating Cannon I,576,NULL,NULL
497,55,1200mm Artillery Cannon I,579,NULL,NULL
498,55,1400mm Howitzer Artillery I,579,NULL,NULL
499,509,Light Missile Launcher I,640,NULL,NULL
501,510,Heavy Missile Launcher I,642,NULL,0
503,508,Torpedo Launcher I,644,NULL,0
506,767,'Basic' Capacitor Power Relay,667,3,0
508,770,Basic Shield Flux Coil,687,NULL,0
509,768,'Basic' Capacitor Flux Coil,666,3,NULL
518,59,Basic Gyrostabilizer,646,NULL,0
519,59,Gyrostabilizer II,646,2,5
520,59,Gyrostabilizer I,646,NULL,0
521,60,Basic Damage Control,615,NULL,0
522,61,Micro Capacitor Battery I,702,NULL,0
523,62,Small Armor Repairer I,1049,NULL,0
524,63,Small Hull Repairer I,1053,NULL,0
526,65,Stasis Webifier I,683,NULL,NULL
527,65,Stasis Webifier II,683,2,NULL
529,67,Small Remote Capacitor Transmitter I,695,NULL,0
530,68,Small Nosferatu I,692,NULL,0
533,71,Small Energy Neutralizer I,689,NULL,0
561,74,75mm Gatling Rail I,564,NULL,0
562,74,Light Electron Blaster I,561,NULL,0
563,74,Light Ion Blaster I,561,NULL,0
564,74,Light Neutron Blaster I,561,NULL,0
565,74,150mm Railgun I,564,NULL,0
566,74,Heavy Electron Blaster I,562,NULL,0
567,74,Dual 150mm Railgun I,565,NULL,0
568,74,Heavy Neutron Blaster I,562,NULL,0
569,74,Heavy Ion Blaster I,562,NULL,0
570,74,250mm Railgun I,565,NULL,0
571,74,Electron Blaster Cannon I,563,NULL,0
572,74,Dual 250mm Railgun I,566,NULL,0
573,74,Neutron Blaster Cannon I,563,NULL,0
574,74,425mm Railgun I,566,NULL,0
575,74,Ion Blaster Cannon I,563,NULL,0
577,76,Medium Capacitor Booster I,700,NULL,0
578,77,Adaptive Invulnerability Field I,1696,NULL,0
580,80,ECM Burst I,678,NULL,0
581,82,Passive Targeter I,672,NULL,0
582,25,Bantam,61,NULL,0
583,25,Condor,61,NULL,0
584,25,Griffin,61,NULL,0
585,25,Slasher,64,NULL,0
586,25,Probe,64,NULL,0
587,25,Rifter,64,NULL,0
588,237,Reaper,1819,NULL,NULL
589,25,Executioner,72,NULL,0
590,25,Inquisitor,72,NULL,0
591,25,Tormentor,72,NULL,0
592,25,Navitas,77,NULL,0
593,25,Tristan,77,NULL,0
594,25,Incursus,77,NULL,0
595,25,Gallente Police Ship,NULL,NULL,0
596,237,Impairor,1816,NULL,NULL
597,25,Punisher,72,NULL,0
598,25,Breacher,64,NULL,0
599,25,Burst,64,NULL,0
600,25,Minmatar Peacekeeper Ship,NULL,NULL,0
601,237,Ibis,1817,NULL,NULL
602,25,Kestrel,61,NULL,0
603,25,Merlin,61,NULL,0
605,25,Heron,61,NULL,0
606,237,Velator,1818,NULL,NULL
607,25,Imicus,77,NULL,0
608,25,Atron,77,NULL,0
609,25,Maulus,77,NULL,0
613,25,Devourer,NULL,NULL,0
614,25,Fury,NULL,NULL,0
615,237,Immolator,1619,NULL,0
616,25,Medusa,NULL,NULL,0
617,237,Echo,1619,NULL,0
618,25,Lynx,NULL,NULL,0
619,25,Swordspine,NULL,NULL,0
620,26,Osprey,75,NULL,0
621,26,Caracal,75,NULL,0
622,26,Stabber,73,NULL,0
623,26,Moa,75,NULL,0
624,26,Maller,74,NULL,0
625,26,Augoror,74,NULL,0
626,26,Vexor,76,NULL,0
627,26,Thorax,76,NULL,0
628,26,Arbitrator,74,NULL,0
629,26,Rupture,73,NULL,0
630,26,Bellicose,73,NULL,0
631,26,Scythe,73,NULL,0
632,26,Blackbird,75,NULL,0
633,26,Celestis,76,NULL,0
634,26,Exequror,76,NULL,0
635,26,Opux Luxury Yacht,1699,NULL,NULL
638,27,Raven,80,NULL,0
639,27,Tempest,78,NULL,0
640,27,Scorpion,80,NULL,0
641,27,Megathron,81,NULL,0
642,27,Apocalypse,79,NULL,0
643,27,Armageddon,79,NULL,0
644,27,Typhoon,78,NULL,0
645,27,Dominix,81,NULL,0
648,28,Badger,84,NULL,NULL
649,28,Tayra,84,NULL,NULL
650,28,Nereus,83,NULL,NULL
651,28,Hoarder,82,NULL,NULL
652,28,Mammoth,82,NULL,NULL
653,28,Wreathe,82,NULL,NULL
654,28,Kryos,83,NULL,NULL
655,28,Epithal,83,NULL,NULL
656,28,Miasmos,83,NULL,NULL
657,28,Iteron Mark V,83,NULL,NULL
670,29,Capsule,NULL,NULL,NULL
671,30,Erebus,815,NULL,NULL
672,31,Caldari Shuttle,396,NULL,NULL
681,104,Clone Grade Beta Blueprint,NULL,NULL,NULL
682,104,Clone Grade Gamma Blueprint,NULL,NULL,NULL
683,105,Bantam Blueprint,261,NULL,NULL
684,105,Condor Blueprint,261,NULL,NULL
685,105,Griffin Blueprint,261,NULL,NULL
686,106,Osprey Blueprint,275,NULL,NULL
687,106,Caracal Blueprint,275,NULL,NULL
688,107,Raven Blueprint,280,NULL,NULL
689,105,Slasher Blueprint,264,NULL,NULL
690,105,Probe Blueprint,264,NULL,NULL
691,105,Rifter Blueprint,264,NULL,NULL
692,106,Stabber Blueprint,273,NULL,NULL
693,107,Tempest Blueprint,278,NULL,NULL
784,134,Miner II Blueprint,NULL,NULL,NULL
785,134,Miner I Blueprint,338,NULL,NULL
786,136,Light Missile Launcher I Blueprint,340,NULL,NULL
788,136,Heavy Missile Launcher I Blueprint,340,NULL,NULL
790,136,Torpedo Launcher I Blueprint,340,NULL,NULL
803,166,Mjolnir Cruise Missile Blueprint,1526,NULL,NULL
804,166,Scourge Cruise Missile Blueprint,1526,NULL,NULL
805,166,Inferno Cruise Missile Blueprint,1526,NULL,NULL
806,166,Nova Cruise Missile Blueprint,1526,NULL,NULL
807,166,Nova Heavy Missile Blueprint,1527,NULL,NULL
808,166,Mjolnir Heavy Missile Blueprint,1527,NULL,NULL
809,166,Inferno Heavy Missile Blueprint,1527,NULL,NULL
810,166,Scourge Heavy Missile Blueprint,1527,NULL,NULL
811,166,Scourge Light Missile Blueprint,1528,NULL,NULL
812,166,Inferno Light Missile Blueprint,1528,NULL,NULL
813,166,Mjolnir Light Missile Blueprint,1528,NULL,NULL
814,166,Nova Light Missile Blueprint,1528,NULL,NULL
819,135,125mm Gatling AutoCannon I Blueprint,296,NULL,NULL
820,135,150mm Light AutoCannon I Blueprint,296,NULL,NULL
821,135,200mm AutoCannon I Blueprint,296,NULL,NULL
822,135,250mm Light Artillery Cannon I Blueprint,296,NULL,NULL
823,135,280mm Howitzer Artillery I Blueprint,296,NULL,NULL
824,135,Dual 180mm AutoCannon I Blueprint,297,NULL,NULL
825,135,220mm Vulcan AutoCannon I Blueprint,297,NULL,NULL
826,135,425mm AutoCannon I Blueprint,297,NULL,NULL
827,135,650mm Artillery Cannon I Blueprint,297,NULL,NULL
828,135,720mm Howitzer Artillery I Blueprint,297,NULL,NULL
829,135,Dual 425mm AutoCannon I Blueprint,298,NULL,NULL
830,135,Dual 650mm Repeating Cannon I Blueprint,298,NULL,NULL
831,135,800mm Repeating Cannon I Blueprint,298,NULL,NULL
832,135,1200mm Artillery Cannon I Blueprint,298,NULL,NULL
833,135,1400mm Howitzer Artillery I Blueprint,298,NULL,NULL
834,133,Gatling Pulse Laser I Blueprint,292,NULL,NULL
835,133,Dual Light Pulse Laser I Blueprint,292,NULL,NULL
836,133,Dual Light Beam Laser I Blueprint,292,NULL,NULL
837,133,Small Focused Pulse Laser I Blueprint,292,NULL,NULL
838,133,Small Focused Beam Laser I Blueprint,292,NULL,NULL
839,133,Quad Light Beam Laser I Blueprint,293,NULL,NULL
840,133,Focused Medium Pulse Laser I Blueprint,293,NULL,NULL
841,133,Focused Medium Beam Laser I Blueprint,293,NULL,NULL
842,133,Heavy Pulse Laser I Blueprint,293,NULL,NULL
843,133,Heavy Beam Laser I Blueprint,293,NULL,NULL
844,133,Dual Heavy Pulse Laser I Blueprint,295,NULL,NULL
845,133,Dual Heavy Beam Laser I Blueprint,295,NULL,NULL
846,133,Mega Pulse Laser I Blueprint,295,NULL,NULL
847,133,Mega Beam Laser I Blueprint,295,NULL,NULL
848,133,Tachyon Beam Laser I Blueprint,295,NULL,NULL
879,165,Carbonized Lead S Blueprint,313,NULL,NULL
880,165,Nuclear S Blueprint,313,NULL,NULL
881,165,Proton S Blueprint,313,NULL,NULL
882,165,Depleted Uranium S Blueprint,313,NULL,NULL
883,165,Titanium Sabot S Blueprint,313,NULL,NULL
884,165,Fusion S Blueprint,313,NULL,NULL
885,165,Phased Plasma S Blueprint,313,NULL,NULL
886,165,EMP S Blueprint,313,NULL,NULL
887,165,Carbonized Lead M Blueprint,312,NULL,NULL
888,165,Nuclear M Blueprint,312,NULL,NULL
889,165,Proton M Blueprint,312,NULL,NULL
890,165,Depleted Uranium M Blueprint,312,NULL,NULL
891,165,Titanium Sabot M Blueprint,312,NULL,NULL
892,165,Fusion M Blueprint,312,NULL,NULL
893,165,Phased Plasma M Blueprint,312,NULL,NULL
894,165,EMP M Blueprint,312,NULL,NULL
895,165,Carbonized Lead L Blueprint,309,NULL,NULL
896,165,Nuclear L Blueprint,309,NULL,NULL
897,165,Proton L Blueprint,309,NULL,NULL
898,165,Depleted Uranium L Blueprint,309,NULL,NULL
899,165,Titanium Sabot L Blueprint,309,NULL,NULL
900,165,Fusion L Blueprint,309,NULL,NULL
901,165,Phased Plasma L Blueprint,309,NULL,NULL
902,165,EMP L Blueprint,309,NULL,NULL
935,105,Reaper Blueprint,NULL,NULL,NULL
936,105,Executioner Blueprint,272,NULL,NULL
937,105,Inquisitor Blueprint,272,NULL,NULL
938,105,Tormentor Blueprint,272,NULL,NULL
939,105,Navitas Blueprint,277,NULL,NULL
940,105,Tristan Blueprint,277,NULL,NULL
941,105,Incursus Blueprint,277,NULL,NULL
943,105,Impairor Blueprint,NULL,NULL,NULL
944,105,Punisher Blueprint,272,NULL,NULL
945,105,Breacher Blueprint,264,NULL,NULL
946,105,Burst Blueprint,264,NULL,NULL
947,105,Minmatar Peacekeeper Ship Blueprint,NULL,NULL,NULL
948,105,Ibis Blueprint,NULL,NULL,NULL
949,105,Kestrel Blueprint,261,NULL,NULL
950,105,Merlin Blueprint,261,NULL,NULL
952,105,Heron Blueprint,261,NULL,NULL
953,105,Velator Blueprint,NULL,NULL,NULL
954,105,Imicus Blueprint,277,NULL,NULL
955,105,Atron Blueprint,277,NULL,NULL
956,105,Maulus Blueprint,277,NULL,NULL
960,105,Devourer Blueprint,NULL,NULL,NULL
961,105,Fury Blueprint,NULL,NULL,NULL
962,105,Immolator Blueprint,NULL,NULL,NULL
963,105,Medusa Blueprint,NULL,NULL,NULL
964,105,Echo Blueprint,NULL,NULL,NULL
965,105,Lynx Blueprint,NULL,NULL,NULL
966,105,Swordspine Blueprint,NULL,NULL,NULL
967,111,Caldari Shuttle Blueprint,416,NULL,NULL
968,106,Moa Blueprint,275,NULL,NULL
969,106,Maller Blueprint,274,NULL,NULL
970,106,Augoror Blueprint,274,NULL,NULL
971,106,Vexor Blueprint,276,NULL,NULL
972,106,Thorax Blueprint,276,NULL,NULL
973,106,Arbitrator Blueprint,274,NULL,NULL
974,106,Rupture Blueprint,273,NULL,NULL
975,106,Bellicose Blueprint,273,NULL,NULL
976,106,Scythe Blueprint,273,NULL,NULL
977,106,Blackbird Blueprint,275,NULL,NULL
978,106,Celestis Blueprint,276,NULL,NULL
979,106,Exequror Blueprint,276,NULL,NULL
983,108,Badger Blueprint,284,NULL,NULL
984,108,Tayra Blueprint,284,NULL,NULL
985,108,Nereus Blueprint,283,NULL,NULL
986,108,Hoarder Blueprint,282,NULL,NULL
987,108,Mammoth Blueprint,282,NULL,NULL
988,108,Wreathe Blueprint,282,NULL,NULL
989,108,Kryos Blueprint,283,NULL,NULL
990,108,Epithal Blueprint,283,NULL,NULL
991,108,Miasmos Blueprint,283,NULL,NULL
992,108,Iteron Mark V Blueprint,283,NULL,NULL
994,107,Scorpion Blueprint,280,NULL,NULL
995,107,Megathron Blueprint,281,NULL,NULL
996,107,Apocalypse Blueprint,279,NULL,NULL
997,107,Armageddon Blueprint,279,NULL,NULL
998,107,Typhoon Blueprint,278,NULL,NULL
999,107,Dominix Blueprint,281,NULL,NULL
1002,110,Erebus Blueprint,886,NULL,NULL
1010,118,Small Shield Extender I Blueprint,1549,NULL,NULL
1013,118,Small Shield Extender II Blueprint,NULL,NULL,NULL
1026,119,Shield Recharger I Blueprint,1551,NULL,NULL
1027,119,Shield Recharger II Blueprint,NULL,NULL,NULL
1032,120,Small Shield Booster I Blueprint,1552,NULL,NULL
1033,120,Small Shield Booster II Blueprint,NULL,NULL,NULL
1067,126,1MN Microwarpdrive I Blueprint,331,NULL,NULL
1071,126,1MN Afterburner II Blueprint,NULL,NULL,NULL
1072,126,1MN Afterburner I Blueprint,1525,NULL,NULL
1073,126,1MN Microwarpdrive II Blueprint,NULL,NULL,NULL
1074,127,Cargo Scanner I Blueprint,325,NULL,NULL
1075,128,Ship Scanner I Blueprint,325,NULL,NULL
1076,129,Survey Scanner I Blueprint,325,NULL,NULL
1079,132,Warp Scrambler I Blueprint,1939,NULL,NULL
1080,132,Warp Scrambler II Blueprint,NULL,NULL,NULL
1095,139,Gyrostabilizer II Blueprint,NULL,NULL,NULL
1096,139,Gyrostabilizer I Blueprint,343,NULL,NULL
1099,142,Small Armor Repairer I Blueprint,1536,NULL,NULL
1100,143,Small Hull Repairer I Blueprint,1537,NULL,NULL
1102,145,Stasis Webifier I Blueprint,1570,NULL,NULL
1103,145,Stasis Webifier II Blueprint,NULL,NULL,NULL
1105,147,Small Remote Capacitor Transmitter I Blueprint,1562,NULL,NULL
1106,148,Small Nosferatu I Blueprint,1564,NULL,NULL
1109,151,Small Energy Neutralizer I Blueprint,1565,NULL,NULL
1112,154,75mm Gatling Rail I Blueprint,291,NULL,NULL
1113,154,Light Electron Blaster I Blueprint,291,NULL,NULL
1114,154,Light Ion Blaster I Blueprint,291,NULL,NULL
1115,154,Light Neutron Blaster I Blueprint,291,NULL,NULL
1116,154,150mm Railgun I Blueprint,291,NULL,NULL
1117,154,Heavy Electron Blaster I Blueprint,290,NULL,NULL
1118,154,Dual 150mm Railgun I Blueprint,290,NULL,NULL
1119,154,Heavy Neutron Blaster I Blueprint,290,NULL,NULL
1120,154,Heavy Ion Blaster I Blueprint,290,NULL,NULL
1121,154,250mm Railgun I Blueprint,290,NULL,NULL
1122,154,Electron Blaster Cannon I Blueprint,289,NULL,NULL
1123,154,Dual 250mm Railgun I Blueprint,289,NULL,NULL
1124,154,Neutron Blaster Cannon I Blueprint,289,NULL,NULL
1125,154,425mm Railgun I Blueprint,289,NULL,NULL
1126,154,Ion Blaster Cannon I Blueprint,289,NULL,NULL
1128,156,Medium Capacitor Booster I Blueprint,1563,NULL,NULL
1129,157,Adaptive Invulnerability Field I Blueprint,1548,NULL,NULL
1130,167,Iron Charge S Blueprint,307,NULL,NULL
1131,167,Tungsten Charge S Blueprint,307,NULL,NULL
1132,167,Iridium Charge S Blueprint,307,NULL,NULL
1133,167,Lead Charge S Blueprint,307,NULL,NULL
1134,167,Thorium Charge S Blueprint,307,NULL,NULL
1135,167,Uranium Charge S Blueprint,307,NULL,NULL
1136,167,Plutonium Charge S Blueprint,307,NULL,NULL
1137,167,Antimatter Charge S Blueprint,307,NULL,NULL
1138,167,Iron Charge M Blueprint,308,NULL,NULL
1139,167,Tungsten Charge M Blueprint,308,NULL,NULL
1140,167,Iridium Charge M Blueprint,308,NULL,NULL
1141,167,Lead Charge M Blueprint,308,NULL,NULL
1142,167,Thorium Charge M Blueprint,308,NULL,NULL
1143,167,Uranium Charge M Blueprint,308,NULL,NULL
1144,167,Plutonium Charge M Blueprint,308,NULL,NULL
1145,167,Antimatter Charge M Blueprint,308,NULL,NULL
1146,167,Iron Charge L Blueprint,306,NULL,NULL
1147,167,Tungsten Charge L Blueprint,306,NULL,NULL
1148,167,Iridium Charge L Blueprint,306,NULL,NULL
1149,167,Lead Charge L Blueprint,306,NULL,NULL
1150,167,Thorium Charge L Blueprint,306,NULL,NULL
1151,167,Uranium Charge L Blueprint,306,NULL,NULL
1152,167,Plutonium Charge L Blueprint,306,NULL,NULL
1153,167,Antimatter Charge L Blueprint,306,NULL,NULL
1154,168,Radio S Blueprint,302,NULL,NULL
1155,168,Microwave S Blueprint,302,NULL,NULL
1156,168,Infrared S Blueprint,302,NULL,NULL
1157,168,Standard S Blueprint,302,NULL,NULL
1158,168,Ultraviolet S Blueprint,302,NULL,NULL
1159,168,Xray S Blueprint,302,NULL,NULL
1160,168,Gamma S Blueprint,302,NULL,NULL
1161,168,Multifrequency S Blueprint,302,NULL,NULL
1162,168,Radio M Blueprint,303,NULL,NULL
1163,168,Microwave M Blueprint,303,NULL,NULL
1164,168,Infrared M Blueprint,303,NULL,NULL
1165,168,Standard M Blueprint,303,NULL,NULL
1166,168,Ultraviolet M Blueprint,303,NULL,NULL
1167,168,Xray M Blueprint,303,NULL,NULL
1168,168,Gamma M Blueprint,303,NULL,NULL
1169,168,Multifrequency M Blueprint,303,NULL,NULL
1170,168,Radio L Blueprint,305,NULL,NULL
1171,168,Microwave L Blueprint,305,NULL,NULL
1172,168,Infrared L Blueprint,305,NULL,NULL
1173,168,Standard L Blueprint,305,NULL,NULL
1174,168,Ultraviolet L Blueprint,305,NULL,NULL
1175,168,Xray L Blueprint,305,NULL,NULL
1176,168,Gamma L Blueprint,305,NULL,NULL
1177,168,Multifrequency L Blueprint,305,NULL,NULL
1178,169,Cap Booster 25 Blueprint,339,NULL,NULL
1179,169,Cap Booster 50 Blueprint,339,NULL,NULL
1182,96,Auto Targeting System I,670,NULL,0
1183,62,Small Armor Repairer II,1049,2,5
1184,142,Small Armor Repairer II Blueprint,NULL,NULL,NULL
1185,61,Small Capacitor Battery I,703,NULL,0
1186,141,Small Capacitor Battery I Blueprint,1558,NULL,NULL
1190,67,Small Remote Capacitor Transmitter II,695,2,5
1191,147,Small Remote Capacitor Transmitter II Blueprint,NULL,NULL,NULL
1192,764,'Basic' Overdrive Injector System,1087,3,0
1193,98,Basic EM Plating,1668,NULL,0
1194,99,Amarr Sentry Gun,NULL,NULL,NULL
1195,43,Cap Recharger I,665,NULL,0
1196,123,Cap Recharger I Blueprint,1555,NULL,NULL
1197,98,EM Plating I,1668,NULL,0
1198,98,EM Plating II,1668,2,5
1201,100,Wasp I,839,NULL,0
1202,101,Civilian Mining Drone,158,NULL,NULL
1204,163,EM Plating I Blueprint,1544,NULL,NULL
1205,163,EM Plating II Blueprint,NULL,NULL,NULL
1208,162,Auto Targeting System I Blueprint,1579,NULL,NULL
1210,160,ECM Burst I Blueprint,1568,NULL,NULL
1212,161,Passive Targeter I Blueprint,1582,NULL,NULL
1214,176,Wasp I Blueprint,359,NULL,NULL
1215,170,Heavy Defender Missile I Blueprint,316,NULL,NULL
