groupID	categoryID	groupName	description 
212	7	Sensor Booster	Boosts the Range, Speed and Max targets of electronics module
213	7	Tracking Computer	On command adjust the effectiveness of the sensor functions of the electronics of the users ship.
218	9	Heat Sink Blueprint	
223	9	Sensor Booster Blueprint	
224	9	Tracking Computer Blueprint	
225	7	Cheat Module Group	For limited distribution.  Speed up testing.
226	2	Large Collidable Object	
227	2	Cloud	
237	6	Rookie ship	These are the rookie frigates, read: n00be ships yo!
255	16	Gunnery	
256	16	Missiles	
257	16	Spaceship Command	
258	16	Leadership	
266	16	Corporation Management	
267	17	Obsolete Books	
268	16	Production	
269	16	Rigging	
270	16	Science	
272	16	Electronic Systems	
273	16	Drones	
274	16	Trade	
275	16	Navigation	
278	16	Social	
279	11	LCO Drone	
280	17	General	
281	17	Frozen	
282	17	Radioactive	
283	17	Livestock	
284	17	Biohazard	
285	7	CPU Enhancer	
286	11	Minor Threat	
287	11	Rogue Drone	These drones can be found by wrecks, mineral deposits and various other hang-outs for junk metal gone bad.
288	11	Faction Drone	
289	7	Projected ECCM	ECCM Projector 
290	7	Remote Sensor Booster	Electronic Warfare System 2
291	7	Tracking Disruptor	
295	7	Shield Amplifier	
296	9	Shield Amplifier Blueprint	
297	11	Convoy	
298	11	Convoy Drone	
299	18	Repair Drone	Repair drones reapair the structure and armor of ships
300	20	Cyberimplant	
301	11	Concord Drone	
302	7	Magnetic Field Stabilizer	
303	20	Booster	
304	20	DNA Mutator	
305	2	Comet	
306	11	Spawn Container	
307	2	Construction Platform	
308	7	Countermeasure Launcher	
309	7	Autopilot	
310	2	Beacon	This is a group for Beacons. Beacons are fixed global objects with no functionality
311	23	Reprocessing Array	
312	2	Planetary Cloud	
313	17	Drugs	This group contains commodities that are drugs or 'boosters'.
314	17	Miscellaneous	Miscellaneos special mission items that should not be on the market and not available from random missions.
315	7	Warp Core Stabilizer	
316	7	Gang Coordinator	
317	7	Computer Interface Node	
318	2	Landmark	Landmarks are used on the map for locations that are not physical objects neccesarily, such as important areas and regions, political borders and so on.
319	11	Large Collidable Structure	
321	7	Shield Disruptor	
323	11	Billboard	
324	6	Assault Frigate	Da Leet Frigates 

325	7	Remote Armor Repairer	
326	7	Armor Plating Energized	
328	7	Armor Hardener	
329	7	Armor Reinforcer	
330	7	Cloaking Device	
332	17	Tool	Tools used in manufacturing and Research
333	17	Datacores	
334	17	Construction Components	components for use i item construction
335	11	Temporary Cloud	
336	2	Mobile Sentry Gun	
337	11	Mission Drone	
338	7	Shield Boost Amplifier	
339	7	Auxiliary Power Core	
340	2	Secure Cargo Container	
341	7	Signature Scrambling	
342	9	Anti Warp Scrambler Blueprint	
343	9	Tracking Disruptor Blueprint	
344	9	Tracking Enhancer Blueprint	
345	9	Remote Tracking Computer Blueprint	
346	9	Co-Processor Blueprint	
347	9	Signal Amplifier Blueprint	
348	9	Armor Hardener Blueprint	
349	9	Armor Reinforcer Blueprint	
350	9	Remote Armor Repairer Blueprint	
352	9	Auxiliary Power Core Blueprint	
353	7	QA Module	
355	17	Refinables	Group for mineral compounds and alloys that can be refined into valuable minerals.
356	9	Tool Blueprint	
357	7	DroneBayExpander	
358	6	Heavy Assault Cruiser	
360	9	Shield Boost Amplifier Blueprint	
361	22	Mobile Warp Disruptor	Self powered warp disruptors.  Do not require a control tower.
363	23	Ship Maintenance Array	
364	23	Mobile Storage	
365	23	Control Tower	
366	2	Warp Gate	
367	7	Ballistic Control system	
368	2	Global Warp Disruptor	Prevents warping into the radius it covers.
369	17	Ship Logs	
370	17	Criminal Tags	Items such as Dog Tags that NPC pirates drop.
371	9	Mobile Warp Disruptor Blueprint	
372	8	Advanced Autocannon Ammo	
373	8	Advanced Railgun Charge	
374	8	Advanced Beam Laser Crystal	
375	8	Advanced Pulse Laser Crystal	
376	8	Advanced Artillery Ammo	
377	8	Advanced Blaster Charge	
378	7	Cruise Control	
379	7	Target Painter	
380	6	Deep Space Transport	
381	6	Elite Battleship	
382	2	Shipping Crates	Shipping Crate
383	11	Destructible Sentry Gun	Sentry guns inside scenarios, usually owned by pirate factions, that can be destroyed by players.
384	8	Light Missile	Light Missile Charges
385	8	Heavy Missile	Heavy Missile Charges
386	8	Cruise Missile	
387	8	Rocket	
394	8	FoF Light Missile	
395	8	FoF Heavy Missile	
396	8	FoF Cruise Missile	
397	23	Assembly Array	Deployable Assembly Array
400	9	Ballistic Control System Blueprint	
401	9	Cloaking Device Blueprint	
404	23	Silo	Used to store or provide resources of a specific type.
405	7	Anti Cloaking Pulse	Broadcast a signal in all directions within a limited range that cause all the cloaked objects within it to decloak.
406	7	Smartbomb Supercharger	Modules that boost the Damage of Smartbombs
407	7	Drone Control Unit	
408	9	Drone Control Unit Blueprint	
409	17	Empire Insignia Drops	The insignia drops are implemented to replace the "bounty" feature for Empire mission drones, such as Navy ships.  Insignias are traded in to agents for money (will be implemented in Shiva).
410	9	Anti Cloaking Pulse Blueprint	
411	2	Force Field	A spherical barrier, maybe placed around something.
413	23	Laboratory	
414	23	Mobile Power Core	
416	23	Moon Mining	
417	23	Mobile Missile Sentry	
418	23	Mobile Shield Generator	
419	6	Combat Battlecruiser	
420	6	Destroyer	
422	4	Gas Isotopes	Gas Isotopes harvested from gas clouds.
423	4	Ice Product	
425	8	Orbital Assault Unit	
426	23	Mobile Projectile Sentry	
427	4	Moon Materials	Stuff Harvested directly from Moons
428	4	Intermediate Materials	Stuff made from moon materials in a reactor
429	4	Composite	
430	23	Mobile Laser Sentry	
435	11	Deadspace Overseer	
436	24	Simple Reaction	
438	23	Mobile Reactor	
439	23	Electronic Warfare Battery	Group for mobile racial ECM.
440	23	Sensor Dampening Battery	Deployable Sensor Dampener
441	23	Stasis Webification Battery	Deployable Stasis Webber
443	23	Warp Scrambling Battery	Deployable warp jammers.
444	23	Shield Hardening Array	Increases control tower shield resistances
445	23	Force Field Array	Projects a shield around structures outside the range of a control tower.
446	11	Customs Official	
447	9	Construction Component Blueprints	
448	2	Audit Log Secure Container	
449	23	Mobile Hybrid Sentry	
450	25	Arkonor	
451	25	Bistot	
452	25	Crokite	
453	25	Dark Ochre	
454	25	Hedbergite	
455	25	Hemorphite	
456	25	Jaspet	
457	25	Kernite	
458	25	Plagioclase	
459	25	Pyroxeres	
460	25	Scordite	
461	25	Spodumain	
462	25	Veldspar	
463	6	Mining Barge	Mining Barges
464	7	Strip Miner	
465	25	Ice	
467	25	Gneiss	
468	25	Mercoxit	
469	25	Omber	
470	18	Unanchoring Drone	
471	23	Corporate Hangar Array	A Corp Hangar in space.
472	7	System Scanner	
473	23	Tracking Array	Increases Optimal Range and Tracking Speed of all Turret Sentries
474	17	Acceleration Gate Keys	Contains keys, passcards, cyphers and other objects required to open locked acceleration gates in deadspace complexes.
475	7	Microwarpdrive	
476	8	Citadel Torpedo	
477	9	Mining Barge Blueprint	
478	9	System Scanner Blueprint	
479	8	Scanner Probe	
480	23	Stealth Emitter Array	
481	7	Scan Probe Launcher	
482	8	Mining Crystal	
483	7	Frequency Mining Laser	
484	24	Complex Reactions	
485	6	Dreadnought	
486	9	Scan Probe Blueprint	
487	9	Destroyer Blueprint	
489	9	Battlecruiser Blueprint	
490	9	Strip Miner Blueprint	
492	8	Survey Probe	
493	17	Overseer Personal Effects	
494	11	Deadspace Overseer's Structure	This structure belongs to the overseer of this deadspace pocket.
495	11	Deadspace Overseer's Sentry	This sentry is controlled by the overseer of this deadspace pocket.
496	11	Deadspace Overseer's Belongings	This container is tagged as the property of this deadspace pocket's overseer.
497	8	Fuel	
498	8	Modifications	
499	7	New EW Testing	
500	8	Festival Charges	Festival Charges
501	7	Festival Launcher	Festival Launcher
502	2	Cosmic Signature	Disturbances and other anomalies in the electromagnetic or gravity field
503	9	Elite Industrial Blueprint	
504	9	Target Painter Blueprint	
505	16	Fake Skills	This group is for fake skills used for bonuses.
506	7	Missile Launcher Cruise	
507	7	Missile Launcher Rocket	
508	7	Missile Launcher Torpedo	
509	7	Missile Launcher Light	
510	7	Missile Launcher Heavy	
511	7	Missile Launcher Rapid Light	
512	7	Missile Launcher Defender	
513	6	Freighter	
514	7	ECM Stabilizer	
515	7	Siege Module	
516	9	Siege Module Blueprint	
517	2	Agents in Space	Piiiiiigs iiiiiin Spaaaaaaaace.....
518	7	Anti Ballistic Defense System	
519	25	Terran Artifacts	
520	11	Storyline Frigate	
521	17	Identification	
522	11	Storyline Cruiser	
523	11	Storyline Battleship	
524	7	Missile Launcher Citadel	
525	9	Freighter Blueprint	
526	17	Commodities	
527	11	Storyline Mission Frigate	
528	17	Artifacts and Prototypes	Artifacts of ancient cultures in the world of eve.
530	17	Materials and Compounds	Alloys and Special materials used in manufacture of Ancient technology
532	9	Gang Coordinator Blueprint	
533	11	Storyline Mission Cruiser	
534	11	Storyline Mission Battleship	
535	9	Construction Platform Blueprint	
536	17	Station Components	
537	9	Dreadnought Blueprint	
538	7	Data Miners	
540	6	Command Ship	
541	6	Interdictor	
543	6	Exhumer	
544	18	Cap Drain Drone	
545	18	Warp Scrambling Drone	
546	7	Mining Upgrade	
547	6	Carrier	
548	8	Interdiction Probe	
549	18	Fighter Drone	
550	11	Asteroid Angel Cartel Frigate	
551	11	Asteroid Angel Cartel Cruiser	
552	11	Asteroid Angel Cartel Battleship	
553	11	Asteroid Angel Cartel Officer	
554	11	Asteroid Angel Cartel Hauler	
555	11	Asteroid Blood Raiders Cruiser	
556	11	Asteroid Blood Raiders Battleship	
557	11	Asteroid Blood Raiders Frigate	
558	11	Asteroid Blood Raiders Hauler	
559	11	Asteroid Blood Raiders Officer	
560	11	Asteroid Guristas Battleship	
561	11	Asteroid Guristas Cruiser	
562	11	Asteroid Guristas Frigate	
563	11	Asteroid Guristas Hauler	
564	11	Asteroid Guristas Officer	
565	11	Asteroid Sansha's Nation Battleship	
566	11	Asteroid Sansha's Nation Cruiser	
567	11	Asteroid Sansha's Nation Frigate	
568	11	Asteroid Sansha's Nation Hauler	
569	11	Asteroid Sansha's Nation Officer	
570	11	Asteroid Serpentis Battleship	
571	11	Asteroid Serpentis Cruiser	
572	11	Asteroid Serpentis Frigate	
573	11	Asteroid Serpentis Hauler	
574	11	Asteroid Serpentis Officer	
575	11	Asteroid Angel Cartel Destroyer	
576	11	Asteroid Angel Cartel BattleCruiser	
577	11	Asteroid Blood Raiders Destroyer	
578	11	Asteroid Blood Raiders BattleCruiser	
579	11	Asteroid Guristas Destroyer	
580	11	Asteroid Guristas BattleCruiser	
581	11	Asteroid Sansha's Nation Destroyer	
582	11	Asteroid Sansha's Nation BattleCruiser	
583	11	Asteroid Serpentis Destroyer	
584	11	Asteroid Serpentis BattleCruiser	
585	7	Remote Hull Repairer	Modules used to repair damaged hull of friendly vessels
586	7	Drone Modules	
588	7	Super Weapon	
589	7	Interdiction Sphere Launcher	
590	7	Jump Portal Generator	
593	11	Deadspace Angel Cartel BattleCruiser	
594	11	Deadspace Angel Cartel Battleship	
595	11	Deadspace Angel Cartel Cruiser	
596	11	Deadspace Angel Cartel Destroyer	
597	11	Deadspace Angel Cartel Frigate	
602	11	Deadspace Blood Raiders BattleCruiser	
603	11	Deadspace Blood Raiders Battleship	
604	11	Deadspace Blood Raiders Cruiser	
605	11	Deadspace Blood Raiders Destroyer	
606	11	Deadspace Blood Raiders Frigate	
611	11	Deadspace Guristas BattleCruiser	
612	11	Deadspace Guristas Battleship	
613	11	Deadspace Guristas Cruiser	
614	11	Deadspace Guristas Destroyer	
615	11	Deadspace Guristas Frigate	
620	11	Deadspace Sansha's Nation BattleCruiser	
621	11	Deadspace Sansha's Nation Battleship	
622	11	Deadspace Sansha's Nation Cruiser	
623	11	Deadspace Sansha's Nation Destroyer	
624	11	Deadspace Sansha's Nation Frigate	
629	11	Deadspace Serpentis BattleCruiser	
630	11	Deadspace Serpentis Battleship	
631	11	Deadspace Serpentis Cruiser	
632	11	Deadspace Serpentis Destroyer	
633	11	Deadspace Serpentis Frigate	
638	7	Navigation Computer	
639	18	Electronic Warfare Drone	
640	18	Logistic Drone	
641	18	Stasis Webifying Drone	
642	7	Super Gang Enhancer	
643	9	Carrier Blueprint	
644	7	Drone Navigation Computer	
645	7	Drone Damage Modules	
646	7	Drone Tracking Modules	
647	7	Drone Control Range Module	
648	8	Advanced Rocket	
649	2	Freight Container	Freight Containers are commonly used in Freighter-class ships to accomodate their massive cargobays.
650	7	Tractor Beam	
651	9	Super Weapon Blueprint	
652	17	Lease	Each 'Starbase Code Cycle' equals 1 hour of operation of a control tower in the sovereign space of the entity that issued the code. If no Starbase Code Cycle is available during a Control Tower consumption cycle, it should be considered as it has no fuel and therefore offlined.
653	8	Advanced Light Missile	
654	8	Advanced Heavy Assault Missile	
655	8	Advanced Heavy Missile	
656	8	Advanced Cruise Missile	
657	8	Advanced Torpedo	
658	7	Cynosural Field	
659	6	Supercarrier	Supercarrier
660	7	Energy Vampire Slayer	
661	24	Simple Biochemical Reactions	
662	24	Complex Biochemical Reactions	
663	8	Mercoxit Mining Crystal	
665	11	Mission Amarr Empire Frigate	
666	11	Mission Amarr Empire Battlecruiser	
667	11	Mission Amarr Empire Battleship	
668	11	Mission Amarr Empire Cruiser	
669	11	Mission Amarr Empire Destroyer	
670	11	Mission Amarr Empire Other	
671	11	Mission Caldari State Frigate	
672	11	Mission Caldari State Battlecruiser	
673	11	Mission Caldari State Cruiser	
674	11	Mission Caldari State Battleship	
675	11	Mission Caldari State Other	
676	11	Mission Caldari State Destroyer	
677	11	Mission Gallente Federation Frigate	
678	11	Mission Gallente Federation Cruiser	
679	11	Mission Gallente Federation Destroyer	
680	11	Mission Gallente Federation Battleship	
681	11	Mission Gallente Federation Battlecruiser	
682	11	Mission Gallente Federation Other	
683	11	Mission Minmatar Republic Frigate	
684	11	Mission Minmatar Republic Destroyer	
685	11	Mission Minmatar Republic Battlecruiser	
686	11	Mission Minmatar Republic Other	
687	11	Mission Khanid Frigate	
688	11	Mission Khanid Destroyer	
689	11	Mission Khanid Cruiser	
690	11	Mission Khanid Battlecruiser	
691	11	Mission Khanid Battleship	
692	11	Mission Khanid Other	
693	11	Mission CONCORD Frigate	
694	11	Mission CONCORD Destroyer	
695	11	Mission CONCORD Cruiser	
696	11	Mission CONCORD Battlecruiser	
697	11	Mission CONCORD Battleship	
698	11	Mission CONCORD Other	
699	11	Mission Mordu Frigate	
700	11	Mission Mordu Destroyer	
701	11	Mission Mordu Cruiser	
702	11	Mission Mordu Battlecruiser	
703	11	Mission Mordu Battleship	
704	11	Mission Mordu Other	
705	11	Mission Minmatar Republic Cruiser	
706	11	Mission Minmatar Republic Battleship	
707	23	Jump Portal Array	
709	23	Scanner Array	
710	23	Logistics Array	
711	2	Harvestable Cloud	
712	4	Biochemical Material	
715	11	Destructible Agents In Space	
716	17	Data Interfaces	
718	9	Booster Blueprints	
721	20	Temp	
722	9	Advanced Hybrid Charge Blueprint	
723	9	Tractor Beam Blueprint	
724	9	Implant Blueprints	
725	9	Advanced Projectile Ammo Blueprint	
726	9	Advanced Frequency Crystal Blueprint	
727	9	Mining Crystal Blueprint	
728	35	Decryptors - Amarr	
729	35	Decryptors - Minmatar	
730	35	Decryptors - Gallente	
731	35	Decryptors - Caldari	
732	17	Decryptors - Sleepers	
733	17	Decryptors - Yan Jung	
734	17	Decryptors - Takmahl	
735	17	Decryptors - Talocan	
737	7	Gas Cloud Harvester	
738	20	Cyber Armor	Implants relating to armor. 
739	20	Cyber Drones	Implants relating to drones
740	20	Cyber Electronic Systems	Implants relating to electronic warfare
741	20	Cyber Engineering	Implants related to capacitor
742	20	Cyber Gunnery	Implants relating to gunnery
743	20	Cyber Production	Implants related to mining, refining and manufacturing.
744	20	Cyber Leadership	Implants relating to gangs
745	20	Cyber Learning	Implants relating to character attributes.
746	20	Cyber Missile	Implants relating to missile launcher operation.
747	20	Cyber Navigation	Implants relating to speed mods. 
748	20	Cyber Science	Implants related to research.
749	20	Cyber Shields	Implants relating to shields. 
750	20	Cyber Social	Implants relating to agents.
751	20	Cyber Trade	Implants related to trading.
753	7	ECM Enhancer	
754	4	Salvaged Materials	
755	11	Asteroid Rogue Drone BattleCruiser	
756	11	Asteroid Rogue Drone Battleship	
757	11	Asteroid Rogue Drone Cruiser	
758	11	Asteroid Rogue Drone Destroyer	
759	11	Asteroid Rogue Drone Frigate	
760	11	Asteroid Rogue Drone Hauler	
761	11	Asteroid Rogue Drone Swarm	
762	7	Inertial Stabilizer	
763	7	Nanofiber Internal Structure	
764	7	Overdrive Injector System	
765	7	Expanded Cargohold	
766	7	Power Diagnostic System	
767	7	Capacitor Power Relay	
768	7	Capacitor Flux Coil	
769	7	Reactor Control Unit	
770	7	Shield Flux Coil	
771	7	Missile Launcher Heavy Assault	
772	8	Heavy Assault Missile	
773	7	Rig Armor	
774	7	Rig Shield	
775	7	Rig Energy Weapon	
776	7	Rig Hybrid Weapon	
777	7	Rig Projectile Weapon	
778	7	Rig Drones	
779	7	Rig Launcher	
781	7	Rig Core	
782	7	Rig Navigation	
783	20	Cyber X Specials	
784	11	Large Collidable Ship	
786	7	Rig Electronic Systems	
787	9	Rig Blueprint	
789	11	Asteroid Angel Cartel Commander Frigate	
790	11	Asteroid Angel Cartel Commander Cruiser	
791	11	Asteroid Blood Raiders Commander Cruiser	
792	11	Asteroid Blood Raiders Commander Frigate	
793	11	Asteroid Angel Cartel Commander BattleCruiser	
794	11	Asteroid Angel Cartel Commander Destroyer	
795	11	Asteroid Blood Raiders Commander BattleCruiser	
796	11	Asteroid Blood Raiders Commander Destroyer	
797	11	Asteroid Guristas Commander BattleCruiser	
798	11	Asteroid Guristas Commander Cruiser	
799	11	Asteroid Guristas Commander Destroyer	
800	11	Asteroid Guristas Commander Frigate	
801	11	Deadspace Rogue Drone BattleCruiser	
802	11	Deadspace Rogue Drone Battleship	
803	11	Deadspace Rogue Drone Cruiser	
804	11	Deadspace Rogue Drone Destroyer	
805	11	Deadspace Rogue Drone Frigate	
806	11	Deadspace Rogue Drone Swarm	
807	11	Asteroid Sansha's Nation Commander BattleCruiser	
808	11	Asteroid Sansha's Nation Commander Cruiser	
809	11	Asteroid Sansha's Nation Commander Destroyer	
810	11	Asteroid Sansha's Nation Commander Frigate	
811	11	Asteroid Serpentis Commander BattleCruiser	
812	11	Asteroid Serpentis Commander Cruiser	
813	11	Asteroid Serpentis Commander Destroyer	
814	11	Asteroid Serpentis Commander Frigate	
815	7	Clone Vat Bay	
816	11	Mission Generic Battleships	Remnants of the "Mission Drones" and "Faction Drones" groups. Contains NPC's that do not fall under other categories. Holds Battleship sized entities.
817	11	Mission Generic Cruisers	Remnants of the "Mission Drones" and "Faction Drones" groups. Contains NPC's that do not fall under other categories. Holds Cruiser sized entities.
818	11	Mission Generic Frigates	Remnants of the "Mission Drones" and "Faction Drones" groups. Contains NPC's that do not fall under other categories. Holds Frigate sized NPC's
819	11	Deadspace Overseer Frigate	
820	11	Deadspace Overseer Cruiser	
821	11	Deadspace Overseer Battleship	
822	11	Mission Thukker Battlecruiser	
823	11	Mission Thukker Battleship	
824	11	Mission Thukker Cruiser	
825	11	Mission Thukker Destroyer	
826	11	Mission Thukker Frigate	
827	11	Mission Thukker Other	
828	11	Mission Generic Battle Cruisers	Remnants of the "Mission Drones" and "Faction Drones" groups. Contains NPC's that do not fall under other categories. Holds Battle Cruiser sized entities.
829	11	Mission Generic Destroyers	Remnants of the "Mission Drones" and "Faction Drones" groups. Contains NPC's that do not fall under other categories. Holds Destroyer sized entities.
830	6	Covert Ops	
831	6	Interceptor	
832	6	Logistics	
833	6	Force Recon Ship	
834	6	Stealth Bomber	
835	2	Station Upgrade Platform	
836	2	Station Improvement Platform	
837	23	Energy Neutralizing Battery	Deployable Energy Neutralizer
838	23	Cynosural Generator Array	
839	23	Cynosural System Jammer	
840	23	Structure Repair Array	
841	9	Structures - Control Tower Blueprints	
842	7	Remote ECM Burst	
843	11	Asteroid Rogue Drone Commander BattleCruiser	
844	11	Asteroid Rogue Drone Commander Battleship	
845	11	Asteroid Rogue Drone Commander Cruiser	
846	11	Asteroid Rogue Drone Commander Destroyer	
847	11	Asteroid Rogue Drone Commander Frigate	
848	11	Asteroid Angel Cartel Commander Battleship	
849	11	Asteroid Blood Raiders Commander Battleship	
850	11	Asteroid Guristas Commander Battleship	
851	11	Asteroid Sansha's Nation Commander Battleship	
852	11	Asteroid Serpentis Commander Battleship	
853	9	Structures - Laser Battery Blueprints	
854	9	Structures - Projectile Battery Blueprints	
855	9	Structures - Hybrid Battery Blueprints	
856	9	Structures - ECM Jamming Array Blueprints	
857	9	Structures - Warp Scrambling Battery Blueprints	
858	9	Structures - Stasis Webification Battery Blueprints	
859	9	Structures - Sensor Dampening Array Blueprints	
860	9	Structures - Energy Neutralizing Battery Blueprints	
861	11	Mission Fighter Drone	
862	7	Missile Launcher Bomb	
863	8	Bomb ECM	
864	8	Bomb Energy	
865	11	Mission Amarr Empire Carrier	
866	11	Mission Caldari State Carrier	
867	11	Mission Gallente Federation Carrier	
868	11	Mission Minmatar Republic Carrier	
870	9	Remote Hull Repairer Blueprint	
871	9	Structures - Missile Battery Blueprints	
872	5	Outpost Improvements	
873	17	Capital Construction Components	Capital Construction Components
874	2	Destructible Station Services	
875	11	Mission Faction Transports	
876	5	Outpost Upgrades	
877	23	Target Painting Battery	
878	7	Cloak Enhancements	Module group for modules that affect cloaking devices
879	17	Slave Reception	
880	17	Sleeper Components	
881	24	Freedom Programs	
882	24	Enslavement Programs	
883	6	Capital Industrial Ship	
884	17	Test Compressed Ore	
885	2	Cosmic Anomaly	
886	4	Rogue Drone Components	
888	9	Ore Compression Blueprints	
889	9	Ore Enhancement Blueprints	
890	9	Ice Compression Blueprints	
891	9	Structures - Mobile Laboratory Blueprints	
892	8	Planet Satellites	
